seq_id,cons_k1_mean,cons_k1_std,cons_k3_mean,cons_k3_std,cons_k5_mean,cons_k5_std,cons_k7_mean,cons_k7_std,cons_k9_mean,cons_k9_std,cons_k11_mean,cons_k11_std,cons_k13_mean,cons_k13_std,cons_k15_mean,cons_k15_std,cons_k19_mean,cons_k19_std,cons_k21_mean,cons_k21_std,cons_k25_mean,cons_k25_std
5s_Bacteroides-capillosus-1,0.4292084813117981,0.13056870696740955,0.5415273413062096,0.08938291763107205,0.5771875128149986,0.08914484272549823,0.5497074291110039,0.11549017461834027,0.5380691200494766,0.11177589763307731,0.5748879298567772,0.07662613505228415,0.5575778588652611,0.08164695127856846,0.5888493746519089,0.048487971220756924,0.5648267447948456,0.06278527563803767,0.587433922290802,0.043026890971762266,0.5734909325838089,0.026617236705066022
5s_Candida-azyma-1,0.2616534100845456,0.18816981273999342,0.3036518167704344,0.13468553383760498,0.38627967834472654,0.14050300325196952,0.34078130349516866,0.08252427060410342,0.34727003164589404,0.11806915573684909,0.37580064684152603,0.10390780743275682,0.37269306629896165,0.06354688965868727,0.3576114036142826,0.09375594098246173,0.3935342252254486,0.06368798595620145,0.38587835133075715,0.07371126932881339,0.39147475361824036,0.06268466169589612
5s_Chaetomorpha-moniligera-1,0.393024467676878,0.12076881540533503,0.4842297464609146,0.11410595652257466,0.4770903214812279,0.0863922871548024,0.496387380361557,0.10862490877628501,0.4893627569079399,0.09537162788888634,0.4550290808081627,0.05556950254639756,0.4500883400440216,0.05666293040792647,0.45591177195310595,0.05325333809208436,0.4202238544821739,0.023318340313704573,0.4198244512081146,0.028459276157409008,0.4324648052453995,0.03249878983076717
5s_Erythromicrobium-ezovicum-1,0.3788027331233025,0.1718844647831562,0.5851277962327004,0.1473902339542825,0.6533796727657318,0.13962047140023995,0.6650579750537873,0.12730426442516207,0.5868736356496811,0.11754666161793478,0.6526966467499733,0.10152251456522102,0.6398272633552551,0.09144051411755069,0.6523270279169082,0.11216852849967414,0.6093258023262024,0.08061595845474194,0.5991539254784584,0.0844799325707472,0.6451408967375756,0.1145193567212892
5s_Methanobacterium-formicicum-1,0.4476357951760292,0.11407700592102363,0.5628154039382934,0.10782226871291052,0.6054833918809891,0.058211368889918604,0.6163950324058532,0.06645235030871238,0.6336877256631851,0.04381296567738892,0.6090847730636597,0.04088793910534262,0.5939907401800155,0.05104635061276028,0.6019800394773483,0.02719823559918195,0.6068816542625427,0.03714765286103108,0.606594854593277,0.025036827392660024,0.5949716150760651,0.0185321214750518
5s_Nadsonia-fulvescens-1,0.5442381247878074,0.13725862640227451,0.6883074373006821,0.10805067576031423,0.6609478503465652,0.08820671827598109,0.6297379493713379,0.10270599705807144,0.6651320397853852,0.06375704063531092,0.6955262064933777,0.08031206593246361,0.6767733037471771,0.06700328069255888,0.7149471431970597,0.05750831966904714,0.6878568410873414,0.06098958052723307,0.7098593801259995,0.06473546500578858,0.701406741142273,0.05457652879810596
5s_Thiovulum-sp.-1,0.5069105081260205,0.11593655401296012,0.5868347570300102,0.11100029223503587,0.6443796783685685,0.0804282059674216,0.6601027846336365,0.04520667079136384,0.6411393612623215,0.05464129231708746,0.6417694985866547,0.0341041960555609,0.6448447972536087,0.03822733064792638,0.6371441304683685,0.02475199484804752,0.6552054703235626,0.031294265646538456,0.6386434882879257,0.02329809814281247,0.6457422345876693,0.019661046891001704
srp_Anab.vari._CP000117,0.2739039395004511,0.13387907705870064,0.240035561285913,0.21776959428415021,0.2495080465450883,0.19101078680712485,0.13221169877797365,0.1390709813508746,0.1803029587492347,0.17790114885120778,0.13360695131123065,0.17293194458718747,0.09846315924078226,0.12359412291225853,0.1024716405197978,0.13685926328083156,0.051671966910362244,0.0871043096599791,0.007567229494452476,0.018019398260354817,0.019040341302752496,0.045761785739565394
srp_Chlo.tepi._AE006470,0.6172722727060318,0.11388855261462798,0.64604781717062,0.12787545742466144,0.7107331603765488,0.0606564162054366,0.7015045195817947,0.08492926820405029,0.727535966038704,0.05036519610015135,0.745256632566452,0.07369471517971027,0.7322885543107986,0.05744543484176573,0.7226752042770386,0.05688159389158947,0.7276400715112686,0.0554342977182415,0.7337837249040604,0.060162220028120585,0.7307902574539185,0.05505993737052476
srp_Heli.pylo._CP000241,0.2657829594798386,0.1178521927359091,0.3445869617164135,0.10110215565362005,0.34789105877280235,0.07164975667926174,0.32567834500223397,0.10223962357399659,0.328217176347971,0.08442220398050176,0.3228135511279106,0.08091848478776754,0.317821304500103,0.06343507261684803,0.32734771966934206,0.03932749670193103,0.29202188178896904,0.054808405701965865,0.3193036399781704,0.05284131286708411,0.3097770757973194,0.03970194097071147
